Id,Title,Senior,Company,Location,Salary,Currency
1,Senior Machine Learning Engineer,True,RTB House,Zdalnie  + 1,30 200  – 40 300  PLN,PLN
2,Regular / Senior Data Scientist,True,hubQuest,Zdalnie  + 1,20 000  – 28 500  PLN,PLN
3,Cloud Dev Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN
4,Cloud Automation Engineer,False,ERGO Technology &amp; Services,Zdalnie  + 2,16 000  – 26 000  PLN,PLN
5,Data Analyst/ Scientist,False,Algomine,Zdalnie  + 1,13 440  – 21 840  PLN,PLN
6,Data Scientist,False,3Soft S.A.,"Katowice , PL",7 000  – 10 000  PLN,PLN
7,Machine Learning Engineer,False,Tooploox,Zdalnie  + 2,13 000  – 19 000  PLN,PLN
8,Senior Machine Learning Engineer,True,Tooploox,Zdalnie  + 2,18 000  – 26 000  PLN,PLN
9,Junior Cloud Engineer,False,Reply Polska,Zdalnie,5 000  – 9 000  PLN,PLN
10,Machine Learning Ops Engineer,False,Silent Eight,Zdalnie,12 000  – 18 000  PLN,PLN
11,Senior MLOps Engineer,True,Avenga,Zdalnie,26 880  – 31 920  PLN,PLN
12,Regular/ Senior Python Developer,True,Objectivity,Zdalnie  + 2,15 960  – 25 872  PLN,PLN
13,Machine Learning Engineer,False,unstructured.io,Zdalnie,39 312  – 51 072  PLN,PLN
14,Machine Learning Engineer/Data Scientist,False,LoopMe,"Kraków , PL",16 000  – 18 000  PLN,PLN
15,Cloud Solutions Architect,False,Grape Up,"Kraków , PL  + 2",22 100  – 35 700  PLN,PLN
16,Data Scientist,False,Avenga,Zdalnie  + 1,24 360  – 27 720  PLN,PLN
17,Junior Data Scientist,False,EMPIK S. A.,"Warszawa , PL",4 000  – 8 000  PLN,PLN
18,Data Engineer,False,Unit8 SA,"Kraków , PL  + 1",22 000  – 26 000  PLN,PLN
19,Machine Learning Lead Engineer,True,RTB House,Zdalnie  + 1,40 300  – 50 400  PLN,PLN
20,Python Developer / ML Engineer,False,hubQuest,Zdalnie  + 1,20 000  – 27 000  PLN,PLN
21,Data Scientist,False,TKH Technology Poland,"Poznań , PL  + 1",16 800  – 20 160  PLN,PLN
22,Senior MLOps Engineer,True,GetInData,Zdalnie  + 1,25 200  – 31 920  PLN,PLN
